PhoneNumber,Email,CreditScore,AgeGroup,FamilyBackground,Income,LeadSource,TimeOnPage,PagesVisited,High_Intent
09948362409,parinaaz08@example.com,490,26-35,Married,372325,Organic Search,181,13,0
07301682249,ggoel@example.com,444,26-35,Married,276412,Organic Search,114,1,0
08194846759,ramaseher@example.org,345,18-25,Married with Kids,158882,Paid Ads,45,14,0
00026175254,azad30@example.org,363,26-35,Single,240456,Direct,289,10,0
00315307138,jivikadhillon@example.org,446,36-50,Married,421906,Social Media,218,4,0
+913583257658,indransdivan@example.net,384,26-35,Married with Kids,350962,Referral,126,3,0
+915494147655,bwadhwa@example.org,353,18-25,Single,229578,Referral,168,4,0
05033036612,hunar53@example.com,552,36-50,Married,562456,Organic Search,110,13,0
7978117113,qborde@example.org,557,51+,Married with Kids,457210,Paid Ads,95,5,0
+910175344658,chadrania@example.org,365,18-25,Married,121156,Organic Search,151,10,0
02875110320,ishaansami@example.com,572,36-50,Married with Kids,587992,Organic Search,116,8,1
2024708671,pkaul@example.net,300,18-25,Single,81068,Social Media,233,12,0
+919786891005,gadezaina@example.net,411,26-35,Married,255889,Referral,288,5,0
+918074558505,toorazad@example.net,300,18-25,Married,75044,Referral,155,5,0
01592594055,itata@example.com,761,36-50,Married,602506,Social Media,155,11,1
+919330560894,ayeshadhaliwal@example.net,339,18-25,Married,39357,Referral,261,13,0
02345486061,wrajan@example.org,606,36-50,Single,559878,Direct,92,11,0
05059359759,baiju73@example.org,339,26-35,Single,151202,Direct,43,11,0
06156041887,kavyadatta@example.org,496,51+,Single,371088,Organic Search,125,3,0
5415185287,shalv34@example.net,493,26-35,Married,354168,Referral,39,8,0
07217673913,tariniray@example.net,544,36-50,Single,489082,Referral,139,10,0
09545988624,samairalad@example.com,607,36-50,Single,476347,Social Media,207,14,0
05830557949,anayaseshadri@example.org,624,36-50,Married with Kids,644287,Direct,120,8,1
07119387057,kashvidhingra@example.net,604,36-50,Married,627093,Direct,91,3,0
+919645651701,vardaniyajani@example.org,526,26-35,Married with Kids,406480,Direct,56,9,0
03518434710,darmanjari@example.org,511,26-35,Married with Kids,332860,Social Media,156,14,0
+918685957201,sarafriaan@example.org,319,18-25,Married with Kids,-6746,Organic Search,43,9,0
+914249430910,nramanathan@example.org,306,18-25,Single,86148,Direct,92,14,0
08124956227,sahilsrivastava@example.org,419,26-35,Married,232071,Social Media,48,7,0
5166972107,samar17@example.com,663,36-50,Married,616933,Referral,48,10,0
05013368863,kartik99@example.com,488,26-35,Married,292410,Referral,30,14,0
+913096159244,hridaan75@example.com,478,26-35,Married,230937,Organic Search,84,12,0
+910383578558,kartiksuri@example.net,566,36-50,Single,494246,Paid Ads,118,10,0
+915769743833,hazel67@example.org,545,51+,Married,530624,Organic Search,208,7,0
1648552537,adira75@example.com,549,36-50,Married with Kids,594047,Direct,93,12,1
+912145486486,kakarneysa@example.org,538,26-35,Single,259249,Organic Search,191,3,0
0994631716,tatatushar@example.net,538,36-50,Single,558456,Direct,91,2,0
8063803383,nitara16@example.com,604,36-50,Single,584576,Social Media,59,10,0
08788866292,kothariaaina@example.net,318,26-35,Married with Kids,326409,Organic Search,172,4,0
4403465299,baijudubey@example.org,565,51+,Married with Kids,414933,Direct,83,13,0
+919997706128,vaibhavgade@example.org,497,26-35,Single,322853,Paid Ads,35,14,0
+919598657254,ramachandranprerak@example.net,523,26-35,Married,363930,Social Media,137,4,0
4654096625,tsinha@example.net,504,51+,Married with Kids,425064,Social Media,172,6,0
0884711523,abedi@example.net,446,26-35,Married with Kids,277163,Paid Ads,126,3,0
06589445149,samarbains@example.com,473,26-35,Single,274743,Organic Search,260,1,0
+913290944271,siyadash@example.net,573,36-50,Married,535479,Referral,67,5,0
05680218489,iyengarshayak@example.com,312,18-25,Single,72428,Social Media,206,13,0
+916663873680,saira36@example.org,341,18-25,Married with Kids,141293,Paid Ads,70,2,0
09563664342,mghose@example.com,521,36-50,Married with Kids,618610,Social Media,291,12,1
04814321567,kalitapranay@example.org,300,26-35,Married,219319,Organic Search,104,5,0
+915645531239,luthraayesha@example.net,606,36-50,Married,657184,Paid Ads,121,4,0
0570980197,nitarahanda@example.net,463,26-35,Single,280348,Direct,58,14,0
07399692144,vbuch@example.com,503,26-35,Single,294167,Social Media,79,12,0
6893804337,divyansh90@example.com,510,26-35,Married with Kids,313495,Direct,122,14,0
09330932045,kumerishita@example.net,306,18-25,Married,12201,Direct,99,6,0
9085942421,mshukla@example.net,562,26-35,Married with Kids,360904,Social Media,260,8,0
0565946380,romilkunda@example.org,339,18-25,Married,72665,Organic Search,131,12,0
+919769338068,eissac@example.com,448,26-35,Married,280114,Social Media,284,2,0
+916850451588,ehsaansaraf@example.org,427,26-35,Married with Kids,315447,Referral,189,1,0
09056305672,ivandugar@example.org,431,26-35,Single,195656,Direct,41,5,0
+912174671029,rlal@example.com,338,18-25,Single,87609,Referral,258,3,0
8560304512,kuruvillayuvraj@example.org,387,26-35,Married,235160,Paid Ads,92,10,0
4483067956,hiran23@example.org,593,36-50,Married,625356,Social Media,46,8,0
4950862803,abrambal@example.com,453,26-35,Married,331763,Referral,276,11,0
+910077638664,jchahal@example.org,581,36-50,Married,581490,Referral,245,13,0
+919113279828,jupadhyay@example.org,509,36-50,Married with Kids,596243,Direct,267,7,1
+916680305318,udasgupta@example.net,480,26-35,Single,251809,Paid Ads,285,3,0
01247174751,danioorja@example.org,372,18-25,Married with Kids,76799,Organic Search,192,12,0
7871543954,fatehhayer@example.com,564,36-50,Married,617843,Direct,175,5,0
+916529094993,xandra@example.org,562,36-50,Married with Kids,593922,Paid Ads,110,12,1
3997687111,aradhyasabharwal@example.net,361,26-35,Single,252918,Paid Ads,97,2,0
+915675697476,anayakrishnamurthy@example.com,417,26-35,Married,286452,Referral,50,1,0
7124287775,gatikben@example.net,652,36-50,Married,533002,Organic Search,150,1,0
9883719216,settyahana@example.org,466,26-35,Married,281151,Paid Ads,176,10,0
+910349913222,amiradesai@example.org,397,18-25,Married,106306,Direct,87,8,0
+919962021291,utrivedi@example.org,507,36-50,Single,433100,Referral,234,11,0
+911374956251,parinaaz27@example.org,414,26-35,Married,260163,Paid Ads,229,14,0
09795287898,advik91@example.net,486,26-35,Single,326722,Paid Ads,30,2,0
03561137645,duttadivit@example.net,544,36-50,Single,468276,Paid Ads,42,8,0
6186280739,savantindrajit@example.org,424,26-35,Married with Kids,247342,Direct,138,8,0
+917179463639,zmahajan@example.org,458,26-35,Married,281931,Organic Search,43,1,0
02912722466,prerak78@example.org,650,36-50,Married with Kids,600651,Paid Ads,122,3,1
06193203970,adirakannan@example.com,520,26-35,Married,384033,Paid Ads,182,11,0
05877742072,anay80@example.net,554,36-50,Married with Kids,588158,Social Media,185,5,1
+919086915240,armaan27@example.net,323,18-25,Married with Kids,142820,Social Media,44,14,0
0386973006,aliasoman@example.net,380,18-25,Married,151330,Social Media,141,1,0
02904831430,hansh73@example.org,519,36-50,Married with Kids,547336,Referral,282,11,1
5795555098,myrathakur@example.com,470,26-35,Married,246237,Social Media,176,2,0
3625427311,ahana-65@example.org,488,36-50,Single,548182,Referral,193,6,0
07293065058,nayantarasuri@example.net,684,36-50,Married,588512,Organic Search,184,10,1
2189798361,davemahika@example.org,584,36-50,Married,551924,Organic Search,31,8,0
+917605554751,godataimur@example.com,545,26-35,Married with Kids,352524,Direct,121,4,0
08115191531,tarini90@example.org,469,26-35,Married,225629,Organic Search,47,1,0
+910015531998,lakshit74@example.com,554,36-50,Married with Kids,535115,Direct,236,3,1
5331896157,ahana-gara@example.org,407,26-35,Single,269662,Organic Search,69,13,0
+918057865115,subramaniammehul@example.org,475,26-35,Married,262281,Paid Ads,86,4,0
7634354423,basuanahita@example.org,658,36-50,Married,588688,Social Media,180,11,0
2367892689,navya75@example.net,425,26-35,Married,297737,Referral,182,14,0
4229785721,priyanshsuri@example.net,462,36-50,Single,481018,Organic Search,132,6,0
08401594606,samarmagar@example.org,629,36-50,Married with Kids,613770,Paid Ads,283,2,1
08042443661,elaseth@example.com,592,36-50,Single,465420,Referral,274,12,0
06364274939,anika83@example.org,501,51+,Married,415252,Referral,236,1,0
05254507794,madhavsuri@example.org,365,18-25,Single,112361,Referral,83,12,0
02423234358,dissac@example.net,364,26-35,Single,300353,Direct,231,9,0
+914864903992,hiraniyer@example.com,482,26-35,Married,292081,Organic Search,58,10,0
04699826968,pranaysridhar@example.org,492,36-50,Single,516103,Paid Ads,155,12,0
+918365121531,mammenyuvaan@example.net,558,51+,Married,460713,Organic Search,138,9,0
6833242726,zrajagopalan@example.org,448,26-35,Married,266223,Referral,15,3,0
+911085819340,mannanahita@example.net,397,18-25,Single,109073,Paid Ads,92,9,0
+918748676236,onkardugar@example.net,548,51+,Married with Kids,512476,Paid Ads,39,4,1
+913852872377,divitwalia@example.com,496,26-35,Married,378502,Paid Ads,297,7,0
+918154443640,prishachoudhury@example.net,372,18-25,Single,88634,Paid Ads,292,7,0
+912758645512,darachirag@example.com,594,36-50,Single,607094,Paid Ads,212,10,0
9416721128,yasminsabharwal@example.net,447,26-35,Married,244243,Direct,186,14,0
5364813697,anyashroff@example.net,423,26-35,Single,341167,Direct,152,12,0
+918242180320,brarhazel@example.com,425,36-50,Married,569776,Direct,115,1,0
1240682648,arnav72@example.net,608,51+,Single,402508,Referral,248,7,0
05087007314,yuvaanthaman@example.com,476,26-35,Single,216520,Direct,92,3,0
5077761923,ojas68@example.net,463,26-35,Married with Kids,258276,Direct,93,10,0
6730654228,auroraveer@example.com,486,26-35,Married with Kids,319972,Direct,193,5,0
5973431543,misha46@example.org,615,36-50,Married,582609,Organic Search,16,6,0
00244800053,adira02@example.com,516,51+,Married with Kids,488764,Referral,266,13,0
01080718800,parinaaziyengar@example.org,302,18-25,Married,67918,Referral,133,10,0
+918328737230,nirvaan79@example.org,361,26-35,Married with Kids,325541,Social Media,40,6,0
06207429891,kakardhanush@example.com,499,26-35,Married,301837,Direct,237,11,0
2398406716,dateadah@example.org,369,18-25,Married with Kids,161516,Referral,102,6,0
05750631358,emirhari@example.net,616,36-50,Married with Kids,584958,Direct,13,6,1
8273237842,riyasinghal@example.org,601,36-50,Married,613642,Paid Ads,59,8,0
06992306544,koshyarmaan@example.org,428,26-35,Single,233675,Paid Ads,104,3,0
6825869689,amand@example.net,454,51+,Married with Kids,408833,Social Media,138,14,0
02243049100,vivaan21@example.net,447,26-35,Married,309601,Paid Ads,34,14,0
6289436778,inaaya-40@example.org,443,26-35,Single,258373,Paid Ads,233,5,0
+913156677543,rania08@example.org,449,26-35,Married,364074,Direct,56,6,0
8537993714,gourmamooty@example.net,364,26-35,Single,210093,Referral,231,7,0
8851524218,ksem@example.org,555,36-50,Married with Kids,507978,Paid Ads,22,9,1
7280531217,dhawandrishya@example.net,482,26-35,Married,293496,Direct,20,5,0
7506508735,adeol@example.org,508,36-50,Married,623440,Social Media,131,10,0
2924160633,sarinnishith@example.net,587,36-50,Married with Kids,615932,Organic Search,43,10,1
9674111417,qsoni@example.org,300,18-25,Married,54182,Social Media,162,4,0
08492321701,ishaan69@example.net,548,36-50,Married,501213,Paid Ads,59,8,0
3846019303,divij70@example.org,341,18-25,Single,62431,Social Media,284,8,0
03241879333,jivin72@example.org,389,18-25,Married with Kids,194763,Organic Search,213,14,0
05241677717,shereadvika@example.net,397,26-35,Single,181238,Paid Ads,236,3,0
00105134373,bchaudhari@example.org,540,51+,Married,405695,Paid Ads,48,12,0
09609259823,vorasamaira@example.com,508,36-50,Married,592421,Direct,123,6,0
+917555627477,piyahalder@example.com,438,26-35,Married,318889,Paid Ads,193,8,0
+917903583944,ukapur@example.net,417,26-35,Single,273486,Organic Search,114,1,0
+912583881818,jroy@example.org,552,36-50,Married,534258,Organic Search,264,11,0
05780824787,hansnirvaan@example.net,429,18-25,Married,168566,Referral,228,9,0
+914731119208,ela98@example.com,437,26-35,Single,298365,Direct,204,9,0
05810391759,onkar29@example.org,386,26-35,Single,278072,Referral,240,6,0
+916881151354,usastry@example.com,438,26-35,Single,288381,Paid Ads,196,9,0
3003688852,indrajitbabu@example.org,300,18-25,Married with Kids,56106,Social Media,91,12,0
9459218781,navya53@example.org,338,18-25,Married with Kids,163926,Social Media,241,1,0
07719689258,prisha92@example.org,390,26-35,Married,308296,Paid Ads,270,2,0
+917157169713,vraval@example.org,510,36-50,Married,594602,Organic Search,209,5,0
04820728870,toorrohan@example.net,429,18-25,Single,144148,Paid Ads,185,7,0
4243382390,qkhanna@example.net,437,26-35,Married,306031,Social Media,210,13,0
1843231906,mamootyrama@example.org,555,36-50,Married with Kids,600184,Paid Ads,82,14,1
7623577869,rheasangha@example.net,527,51+,Single,425933,Referral,22,7,0
+911240324048,bgopal@example.com,613,36-50,Single,554056,Paid Ads,40,3,0
02626671490,azad13@example.net,555,36-50,Single,486578,Referral,103,9,0
1994762679,rchacko@example.com,519,36-50,Married,579748,Paid Ads,234,10,0
1285479084,khushi14@example.org,448,26-35,Single,258862,Direct,244,6,0
01047963557,rsridhar@example.net,453,26-35,Married with Kids,383419,Direct,247,10,0
05734134528,piya20@example.org,388,26-35,Married,268279,Referral,269,1,0
04288152008,ebhalla@example.org,356,18-25,Married,71254,Organic Search,115,9,0
08463399813,samaamira@example.net,323,26-35,Single,209565,Organic Search,224,1,0
+912651113505,krish07@example.net,387,36-50,Single,370707,Referral,293,6,0
07323763428,sakshamdesai@example.net,543,36-50,Single,440320,Referral,184,13,0
+915775056274,reyansh02@example.net,453,18-25,Single,144430,Paid Ads,270,6,0
+913302232779,jayeshchada@example.org,447,26-35,Married,297763,Referral,268,7,0
7895517856,egokhale@example.net,619,36-50,Married,616538,Direct,51,3,0
4640437490,isoni@example.net,397,18-25,Married with Kids,145003,Organic Search,177,2,0
+916534647456,stuvan96@example.net,574,36-50,Single,554660,Social Media,186,10,0
1578198233,ydada@example.net,408,26-35,Married with Kids,292088,Direct,259,3,0
07978380604,trishashanker@example.net,386,26-35,Married,330706,Direct,36,14,0
7835336071,devansh74@example.com,656,51+,Married,502160,Social Media,281,6,0
01632815045,psandhu@example.net,416,26-35,Married with Kids,252516,Direct,113,10,0
7090293656,siyadhaliwal@example.org,469,26-35,Married,328332,Direct,208,1,0
02115590103,jayant23@example.net,396,26-35,Married,171482,Organic Search,25,13,0
03286553563,amanigoda@example.org,431,26-35,Married with Kids,262589,Paid Ads,199,6,0
+913597897468,chakrabortyahana@example.net,407,26-35,Single,274465,Direct,136,1,0
+910427909901,nakulbera@example.org,583,26-35,Single,339355,Referral,102,2,0
6024165992,madhavcontractor@example.org,300,18-25,Married,133246,Social Media,267,5,0
04073901117,ahana-kunda@example.com,645,36-50,Single,542561,Social Media,89,12,0
2154766639,qvarma@example.org,498,26-35,Single,218686,Paid Ads,12,3,0
02964256337,varmaehsaan@example.net,401,26-35,Married with Kids,292000,Referral,184,14,0
+915880767927,kannananika@example.net,454,26-35,Married with Kids,273891,Social Media,37,8,0
+911195360198,jiya81@example.net,352,26-35,Single,192129,Organic Search,43,9,0
9013975417,sana02@example.com,439,26-35,Single,280495,Organic Search,150,7,0
+914118108291,nkarpe@example.org,300,18-25,Married,102929,Paid Ads,35,8,0
+910482642552,pborde@example.net,471,26-35,Single,224274,Organic Search,138,7,0
02603231249,arhaanraj@example.org,330,18-25,Married,130353,Direct,11,3,0
+910690577648,xhegde@example.org,463,26-35,Married,244739,Referral,59,2,0
+912473637245,emir74@example.org,433,51+,Married with Kids,426076,Organic Search,153,9,0
08192151460,abramdoshi@example.org,573,36-50,Single,540677,Paid Ads,176,9,0
+916585268551,sekhongatik@example.com,468,51+,Single,374475,Social Media,117,8,0
07694812309,keeralisha@example.com,343,26-35,Married,270847,Direct,97,7,0
07186737653,shlok33@example.com,349,18-25,Married,23510,Social Media,72,11,0
08413780397,tcomar@example.com,461,26-35,Married with Kids,337123,Direct,296,5,0
5300959332,sawhneyseher@example.net,489,26-35,Married,283422,Referral,81,5,0
05836565025,raghavchaudhuri@example.com,624,36-50,Married,662621,Social Media,56,11,0
05440930852,uthkarsh76@example.org,609,51+,Married,452367,Paid Ads,299,13,0
8944035766,diyabrar@example.com,347,18-25,Single,87339,Direct,47,9,0
8563833963,rdugar@example.org,474,26-35,Single,268593,Paid Ads,112,5,0
00887282723,ntiwari@example.org,586,36-50,Married,555609,Organic Search,242,4,0
+914356767728,idutta@example.org,497,36-50,Married,514311,Paid Ads,296,3,0
+912836100781,aryaprerak@example.com,352,26-35,Married with Kids,232503,Social Media,128,6,0
05830560846,okant@example.org,379,18-25,Married,80500,Paid Ads,42,3,0
+912645112554,dewaneshani@example.org,482,36-50,Single,511603,Social Media,168,5,0
+914261987004,samaira25@example.com,461,36-50,Single,528709,Social Media,48,14,0
9724996563,yuvaan41@example.com,440,26-35,Married,317218,Referral,167,8,0
+918425890863,kabir21@example.org,442,18-25,Married,154620,Organic Search,183,10,0
03367679774,tejas48@example.com,455,26-35,Married with Kids,320639,Social Media,40,8,0
+919873341056,manderkeya@example.org,521,26-35,Married with Kids,332515,Social Media,40,10,0
+917962895860,eram@example.net,522,36-50,Single,496201,Paid Ads,135,12,0
+916820156125,lavanya17@example.org,501,51+,Married with Kids,509129,Referral,99,2,1
0964195157,indranil90@example.net,554,51+,Married,589503,Referral,171,7,0
5247167867,goswamishayak@example.net,631,51+,Married with Kids,418024,Organic Search,165,12,0
+911432538226,dissac@example.com,573,36-50,Married,596987,Organic Search,85,10,0
7824722897,anayayogi@example.net,300,18-25,Married,155158,Social Media,167,10,0
2893307206,swali@example.com,331,18-25,Married,115507,Social Media,130,8,0
01238659235,kapoortaran@example.org,561,36-50,Married,623764,Paid Ads,187,3,0
+919490309167,sethemir@example.com,604,36-50,Married with Kids,534224,Referral,83,11,1
6712510806,jkota@example.com,432,26-35,Married with Kids,389270,Direct,182,3,0
02074985360,lavanya27@example.com,669,36-50,Married,549212,Social Media,25,2,0
0484959190,ritvik53@example.org,407,26-35,Married with Kids,332787,Paid Ads,33,10,0
02411349761,zkadakia@example.com,410,26-35,Single,181448,Direct,210,12,0
+913233698178,shanaya00@example.net,408,26-35,Single,168690,Organic Search,241,13,0
+915130286898,baijubhagat@example.org,576,36-50,Married with Kids,589920,Social Media,269,2,1
03432588457,aliadayal@example.org,512,51+,Married with Kids,502143,Organic Search,147,5,1
+910389851601,udas@example.com,376,26-35,Single,251489,Paid Ads,236,14,0
+918863082300,yashvi18@example.com,597,36-50,Single,609104,Direct,288,2,0
06279089398,gangulyvihaan@example.net,584,36-50,Married with Kids,603743,Social Media,97,4,1
06755882579,hunarvarghese@example.com,587,36-50,Married,624381,Social Media,107,8,0
+910240517484,eshani02@example.org,391,26-35,Married,280188,Social Media,203,1,0
9037069632,ratisamra@example.com,323,26-35,Married,216593,Direct,271,7,0
+915815197976,taimur53@example.org,552,26-35,Married,328227,Referral,73,3,0
02093686351,kimaya78@example.net,300,18-25,Single,76178,Organic Search,265,9,0
2240806507,raunakbhandari@example.com,546,36-50,Single,499886,Social Media,184,7,0
07155410456,raniasodhi@example.org,440,26-35,Married,242323,Social Media,136,2,0
+912491227880,madhupsani@example.com,416,26-35,Married with Kids,260200,Direct,240,7,0
07822859900,bhavin49@example.com,527,51+,Married with Kids,499791,Paid Ads,117,13,0
4944021817,rtata@example.org,457,26-35,Single,260382,Referral,161,14,0
+919665339654,shanaya20@example.org,503,51+,Single,463874,Direct,298,3,0
1546281461,delakshay@example.com,482,26-35,Married with Kids,240997,Paid Ads,184,5,0
5812730578,dasguptazeeshan@example.com,389,26-35,Married with Kids,276944,Organic Search,28,14,0
09975892455,mahikakarpe@example.org,426,26-35,Single,280080,Social Media,298,13,0
5472717891,wloyal@example.com,607,36-50,Married with Kids,590089,Direct,162,10,1
6324497840,bhamini74@example.net,417,18-25,Married,122574,Direct,221,14,0
01900126677,edubey@example.com,452,51+,Single,404620,Direct,12,9,0
+916492209859,sonilakshay@example.net,426,26-35,Married with Kids,298766,Organic Search,229,4,0
4647686845,sachdevaritvik@example.net,641,36-50,Married with Kids,610109,Paid Ads,222,1,1
6544810783,nitara50@example.com,432,18-25,Married with Kids,59935,Direct,19,1,0
+910639774513,priyanshrege@example.net,487,36-50,Single,494078,Social Media,20,1,0
00931910112,salvisaksham@example.net,558,36-50,Married,552588,Paid Ads,298,2,0
+918074972624,sara04@example.com,498,36-50,Married,592325,Direct,171,7,0
+910730507837,sahil16@example.org,398,18-25,Married,128023,Paid Ads,296,12,0
7062194816,dharmajan23@example.net,497,18-25,Married,194384,Social Media,273,7,0
07128193127,tripathinirvi@example.com,431,18-25,Single,179554,Social Media,145,9,0
8017906976,bordeveer@example.org,539,51+,Married,509015,Direct,71,9,0
7605992797,subramanianmanjari@example.com,566,36-50,Married,675268,Paid Ads,269,1,0
2786997329,ambleneysa@example.org,435,26-35,Married with Kids,272027,Paid Ads,137,6,0
07228416493,bkhatri@example.com,420,26-35,Single,246264,Paid Ads,128,7,0
2635566779,gourmehul@example.net,321,18-25,Single,-53972,Organic Search,263,2,0
+913145228041,abalakrishnan@example.org,665,36-50,Married,617923,Paid Ads,68,2,0
02865671591,lwali@example.org,341,18-25,Married with Kids,86456,Social Media,240,1,0
06854482941,mjaggi@example.com,524,26-35,Married with Kids,329503,Social Media,131,14,0
8404380993,tejasshetty@example.org,564,36-50,Married,610862,Direct,186,10,0
+916844922492,sodhivihaan@example.net,588,36-50,Married,588337,Referral,40,11,0
06716926471,ebhagat@example.org,500,36-50,Married,520959,Referral,81,6,0
+911815359087,wbajaj@example.net,363,18-25,Single,244732,Social Media,180,10,0
+915085706381,shamikrajan@example.com,557,51+,Married with Kids,485787,Referral,155,7,0
7616575536,deokartik@example.com,659,36-50,Married with Kids,619529,Paid Ads,265,7,1
+912855046220,shalv08@example.net,304,18-25,Married,141615,Social Media,187,6,0
07715889695,barmannitya@example.net,660,36-50,Married with Kids,660042,Social Media,125,13,1
+917708223300,tarabhatt@example.com,362,26-35,Married with Kids,268450,Referral,56,14,0
5043925741,indrajitmander@example.com,470,26-35,Married with Kids,341624,Organic Search,199,10,0
06575118506,bumbmahika@example.com,608,36-50,Married with Kids,646102,Referral,148,3,1
+912793814385,ranbirraval@example.com,448,26-35,Married,322725,Direct,50,2,0
+916487866327,piyashah@example.net,547,36-50,Single,450543,Social Media,60,4,0
+919707420366,rajnavya@example.net,503,36-50,Single,481191,Direct,240,1,0
+919544320914,aaryahi71@example.org,586,36-50,Married with Kids,565092,Paid Ads,180,6,1
+914317140719,gbhardwaj@example.net,423,26-35,Married with Kids,292512,Organic Search,205,6,0
+910190175913,groverhimmat@example.com,411,26-35,Single,258923,Organic Search,92,2,0
08188335267,xbarad@example.com,413,26-35,Single,239889,Direct,195,1,0
+910910366055,amirarao@example.net,369,26-35,Single,209387,Organic Search,167,1,0
07374100726,yakshit05@example.com,416,26-35,Married with Kids,291193,Organic Search,190,13,0
0423018478,nayantara09@example.org,489,26-35,Married with Kids,279102,Direct,130,2,0
4831763305,taranapte@example.com,574,36-50,Single,500488,Organic Search,223,5,0
4187470652,inaaya-bir@example.com,344,18-25,Married,86813,Organic Search,296,6,0
07665452487,parishah@example.com,597,26-35,Married,344577,Social Media,273,2,0
02006185727,tiya43@example.com,509,26-35,Single,354019,Organic Search,108,3,0
9258955970,dartushar@example.org,534,51+,Married with Kids,474812,Direct,111,2,0
09309945812,faiyaz52@example.net,670,36-50,Married with Kids,642865,Social Media,268,4,1
2445587969,kiara39@example.com,369,26-35,Single,325896,Referral,220,4,0
7503524565,sahotakaira@example.com,420,26-35,Married,298217,Paid Ads,221,11,0
05237797240,inaaya-kala@example.com,501,26-35,Married,320228,Social Media,33,5,0
7049023358,kumarshlok@example.com,466,51+,Married with Kids,504340,Organic Search,213,10,1
07905413611,tarayasmin@example.org,614,36-50,Married,560690,Social Media,299,11,0
+912592611061,samaira39@example.org,314,18-25,Married,115227,Organic Search,255,9,0
06620346524,swamychirag@example.net,714,36-50,Married with Kids,605987,Referral,155,12,1
+912149355502,krishnasiya@example.net,640,36-50,Single,544269,Social Media,99,13,0
4106073522,damini06@example.net,437,26-35,Married with Kids,319799,Referral,183,3,0
7434850692,nakultailor@example.com,526,51+,Married with Kids,470257,Direct,297,14,0
+914857367721,saksham72@example.net,447,51+,Married,443576,Social Media,35,3,0
2552989200,nakul63@example.com,486,26-35,Married with Kids,374420,Paid Ads,133,8,0
+910199272636,chiragkant@example.com,586,51+,Married,493888,Direct,103,9,0
03754513112,schanda@example.net,365,18-25,Married,127357,Direct,211,14,0
04259518413,sabharwalmisha@example.net,447,26-35,Single,207085,Direct,81,6,0
+913933261509,kondashayak@example.net,455,26-35,Single,216122,Organic Search,153,14,0
2810902780,shanayasengupta@example.org,300,18-25,Married with Kids,37754,Paid Ads,271,1,0
2600757232,rcherian@example.org,556,51+,Married,522299,Social Media,283,12,0
07373478949,nishith40@example.com,313,18-25,Married,122610,Organic Search,189,5,0
04108462261,bhandarimahika@example.net,341,18-25,Single,174056,Social Media,157,9,0
7820050968,kraja@example.org,545,36-50,Married with Kids,549367,Referral,37,7,1
00027591011,pmani@example.com,406,26-35,Married with Kids,227783,Direct,45,14,0
+919962387296,aaravdhingra@example.org,738,36-50,Married with Kids,643803,Direct,156,3,1
